index,site,x,y,thermalSensitivity,intercept,rSquared,adjRSquared,rmse,meanStreamTemp,meanAirTemp,sdStreamTemp,sdAirTemp,minStreamTemp,maxStreamTemp,minAirTemp,maxAirTemp,rangeStreamTemp,rangeAirTemp,Stream_Nam,GPS_lat_,GPS_long_,GRIDCODE,Max7DADM,SLOPE,Solar,Elev,BFI,h2oDevelop,h2oLakesPe,h2oAgricul,h2oBurnPer,h2oRdDens,h2oHiCascP,h2oWetland,h2oVegCov,h2oVegHt,Forest21,Shrub21,h2oKm2,BurnRCA,AgricultRC,WetlandsRC,LakesRCA,HiCascRCA,DevelopRCA,RoadsRCA,VegCover,VegHeight_,DevelopBuf,AgBuf,BurnBuf,WetlandBuf,LakesBuf,HiCascBuf,RoadsBuf,VegHtBuf,VegCovBuf,MeanMaxAir,MaxAir_C,Precip_mm,SumPrecip,MeanAirJJA,WetPrecip
24,10745923,-122.24747,45.30423,0.434,7.645,0.791,0.787,0.695,15.639,18.397,1.507,3.084,12.37,18.905,11.133,26.224,6.535,15.091,SUTER CREEK,45.3042,-122.2475,480426,20.2679,0.0367,0.0533,365.487,54.01,0.0024,0.0029,0.1077,0,1.393,0,0.0085,41.9956,15.1222,0.2805,0.1037,7.9622,0,0.2188,0.0064,6e-4,0,0.0049,1.4426,41.6521,15.3691,0,0,0,0.0327,0,0,1.8335,22.4176,58.9131,24.017,25.4392,1322.3874,157.1226,17.2338,1044.5125
25,21080890,-122.23058,45.30138,0.147,11.517,0.436,0.427,0.519,14.217,18.397,0.685,3.084,12.706,15.396,11.133,26.224,2.69,15.091,SUTER CREEK,45.3014,-122.2306,480426,17.9514,0.0367,0.0533,365.487,54.01,0.0014,0.0038,0.0652,0,1.374,0,0.0093,42.1268,15.0279,0.2805,0.1037,5.7609,0,0.2188,0.0064,6e-4,0,0.0049,1.4426,41.6521,15.3691,0,0,0,0.0327,0,0,1.8335,22.4176,58.9131,24.017,25.4392,1322.3874,157.1226,17.2338,1044.5125
26,USGS 2,-122.35278,45.3,0.162,15.996,0.271,0.259,0.826,19.32,20.576,0.96,3.092,16.644,20.319,13.016,28.652,3.675,15.636,CLACKAMAS RIVER,45.3,-122.3528,479590,20.2571,0.0047,-0.3198,91.8819,53.99,0.003,0.0065,0.0052,0.1161,1.3399,0.2148,0.0067,58.4812,22.0081,0.7575,0.2172,1763.5951,0,0.3671,0.0243,0.0011,0,0.0951,2.4809,28.1754,10.5123,0.0067,0.037,0,0.1351,0.0059,0,0.5864,12.0024,33.2882,26.793,28.5665,1290.5017,151.6355,19.4377,1000.2381
27,10361312,-122.1118,45.29881,0.271,9.464,0.736,0.731,0.654,14.291,17.79,1.263,3.991,11.847,16.917,9.477,26.743,5.07,17.266,EAGLE CREEK,45.2988,-122.1118,479842,17.4199,0.0308,0.1376,514.687,57,0,3e-4,0,0,0.0479,0,0.0019,73.4633,23.9132,0.8118,0.0125,38.2072,0,0,0,0,0,0,0.4236,65.1194,24.2263,0,0,0,0,0,0,0.0052,26.1842,63.0419,22.1575,24.2529,2216.2768,218.9887,16.223,1808.3597
28,20739679,-122.40907,45.29863,0.505,8.643,0.781,0.778,0.831,19.151,20.795,1.761,3.081,15.16,22.484,13.507,29.035,7.324,15.528,CLEAR CREEK,45.2986,-122.4091,479399,24.7486,0.0058,-0.0055,107.412,51.89,0.0246,0.0013,0.1366,0.0579,0.9921,0,0.0057,44.1045,15.9148,0.484,0.3289,111.8772,0,0.3968,0.0042,5e-4,0,0.096,2.5067,25.4835,9.1135,0.1304,0.2485,0,0.0017,0,0,3.3699,10.5607,29.0253,26.8495,28.5934,1307.5257,156.0681,19.6134,1011.9496
29,20745666,-122.25647,45.29433,0.436,9.412,0.749,0.745,0.784,17.432,18.397,1.554,3.084,14.096,20.364,11.133,26.224,6.268,15.091,EAGLE CREEK,45.2943,-122.2565,479719,21.584,0.0119,0.0275,209.853,54.23,0.0012,3e-4,0.0138,0,0.5901,0,0.0024,65.5488,22.5165,0.9033,0.067,92.1124,0,0.2453,0.0026,2e-4,0,0.0258,1.1402,28.7129,11.0304,0,0,0,0.0025,0,0,0,21.9405,55.5401,24.2263,25.6214,1310.6817,155.4634,17.335,1032.0254
30,20941691,-122.08213,45.29243,0.221,9.2,0.733,0.728,0.582,13.04,17.345,1.117,4.318,10.844,15.257,8.458,26.575,4.413,18.118,EAGLE CREEK,45.2924,-122.0821,479917,18.144,0.0236,-0.0415,562.992,59.32,0,0,0,0,6e-4,0,0.0022,74.5517,23.754,0.983,0.0105,32.6609,0,0,6e-4,0,0,0,0,73.3718,26.1928,0,0,0,0.004,0,0,0,28.6912,72.5706,21.5691,23.8438,2698.4116,238.9961,15.8717,2213.3728
31,20745675,-122.19567,45.27749,0.397,9.1,0.776,0.772,0.732,16.267,18.053,1.534,3.404,12.953,19.203,10.73,26.307,6.25,15.577,EAGLE CREEK,45.2775,-122.1957,479791,20.8606,0.0177,0.0137,290.024,54.39,1e-4,2e-4,0.0012,0,0.5018,0,0.0024,70.2329,23.9399,0.8865,0.0386,77.2033,0,0.0131,0,0.001,0,0.001,0.6922,52.6523,19.3121,0,0,0,7e-4,0.0085,0,0.3472,24.2557,58.5897,23.3933,25.0223,1425.6228,168.5086,16.9464,1139.9148
32,2400475,-122.23902,45.26438,0.402,7.673,0.782,0.778,0.701,15.057,18.373,1.489,3.275,12.147,18.398,11.041,26.235,6.251,15.194,DELPH CREEK,45.2644,-122.239,480226,19.3596,0.0362,-0.1014,337.131,56.22,0.0053,0.0011,0.0277,0,0.7293,0,0.0046,50.6673,16.789,0.6921,0.1098,15.6311,0,0.0277,0.0046,0.0011,0,0.0053,0.7293,50.6673,16.789,0.0077,0,0,0.0317,0.0062,0,0.455,21.0483,60.0291,23.1543,24.9038,1563.5683,175.0538,16.8182,1256.0392
33,20820418,-122.29789,45.2532,0.165,15.561,0.253,0.24,0.894,18.663,18.8,1.026,3.125,16.179,19.779,11.405,26.784,3.6,15.379,CLACKAMAS RIVER,45.2532,-122.2979,479570,19.9461,0.0116,0.0989,144.16,54.85,6e-4,0.0063,6e-4,0.1178,1.3038,0.2179,0.0067,58.9525,22.1818,0.7632,0.2193,1738.4991,0.0123,0.117,0.0016,0.0275,0,0.1091,2.3894,38.1058,15.6627,0.1683,0.063,0,0.0113,0.2093,0,1.0412,13.0946,31.2101,25.0412,26.6726,1311.1802,151.494,17.9064,1030.795
